uuid,work_id,item_type,series,year,month,format,title,clean_title,part_index,part_total,proposed_filename,proposed_filename_display
112,w-reason-vs-truth,lecture,Transcending Levels of Consciousness,2006,08,DVD,Reason vs Truth,Reason vs Truth,1,3,2006-08_Reason_vs_Truth_[1-3].mp4,2006-08_Reason_vs_Truth_[1/3].mp4
113,w-reason-vs-truth,lecture,Transcending Levels of Consciousness,2006,08,DVD,Reason vs Truth,Reason vs Truth,2,3,2006-08_Reason_vs_Truth_[2-3].mp4,2006-08_Reason_vs_Truth_[2/3].mp4
114,w-reason-vs-truth,lecture,Transcending Levels of Consciousness,2006,08,DVD,Reason vs Truth,Reason vs Truth,3,3,2006-08_Reason_vs_Truth_[3-3].mp4,2006-08_Reason_vs_Truth_[3/3].mp4
115,w-a-review-of-the-work-2006,lecture,Transcending Levels of Consciousness,2006,09,DVD,A Review of the Work,A Review of the Work,1,3,2006-09_A_Review_of_the_Work_[1-3].mp4,2006-09_A_Review_of_the_Work_[1/3].mp4
116,w-a-review-of-the-work-2006,lecture,Transcending Levels of Consciousness,2006,09,DVD,A Review of the Work,A Review of the Work,2,3,2006-09_A_Review_of_the_Work_[2-3].mp4,2006-09_A_Review_of_the_Work_[2/3].mp4
117,w-a-review-of-the-work-2006,lecture,Transcending Levels of Consciousness,2006,09,DVD,A Review of the Work,A Review of the Work,3,3,2006-09_A_Review_of_the_Work_[3-3].mp4,2006-09_A_Review_of_the_Work_[3/3].mp4
118,w-spiritual-practice-and-daily-life,lecture,Transcending Levels of Consciousness,2006,10,DVD,Spiritual Practice and Daily Life,Spiritual Practice and Daily Life,1,3,2006-10_Spiritual_Practice_and_Daily_Life_[1-3].mp4,2006-10_Spiritual_Practice_and_Daily_Life_[1/3].mp4
119,w-spiritual-practice-and-daily-life,lecture,Transcending Levels of Consciousness,2006,10,DVD,Spiritual Practice and Daily Life,Spiritual Practice and Daily Life,2,3,2006-10_Spiritual_Practice_and_Daily_Life_[2-3].mp4,2006-10_Spiritual_Practice_and_Daily_Life_[2/3].mp4
120,w-spiritual-practice-and-daily-life,lecture,Transcending Levels of Consciousness,2006,10,DVD,Spiritual Practice and Daily Life,Spiritual Practice and Daily Life,3,3,2006-10_Spiritual_Practice_and_Daily_Life_[3-3].mp4,2006-10_Spiritual_Practice_and_Daily_Life_[3/3].mp4
121,w-live-prayer,lecture,Transcending Levels of Consciousness,2006,11,DVD,Live Your Life Like a Prayer,Live Your Life Like a Prayer,1,3,2006-11_Live_Your_Life_Like_a_Prayer_[1-3].mp4,2006-11_Live_Your_Life_Like_a_Prayer_[1/3].mp4
122,w-live-prayer,lecture,Transcending Levels of Consciousness,2006,11,DVD,Live Your Life Like a Prayer,Live Your Life Like a Prayer,2,3,2006-11_Live_Your_Life_Like_a_Prayer_[2-3].mp4,2006-11_Live_Your_Life_Like_a_Prayer_[2/3].mp4
123,w-live-prayer,lecture,Transcending Levels of Consciousness,2006,11,DVD,Live Your Life Like a Prayer,Live Your Life Like a Prayer,3,3,2006-11_Live_Your_Life_Like_a_Prayer_[3-3].mp4,2006-11_Live_Your_Life_Like_a_Prayer_[3/3].mp4
124,w-is-the-miraculous-real,lecture,Transcending Levels of Consciousness,2006,12,DVD,Is the Miraculous Real?,Is the Miraculous Real?,1,3,2006-12_Is_the_Miraculous_Real_[1-3].mp4,2006-12_Is_the_Miraculous_Real_[1/3].mp4
125,w-is-the-miraculous-real,lecture,Transcending Levels of Consciousness,2006,12,DVD,Is the Miraculous Real?,Is the Miraculous Real?,2,3,2006-12_Is_the_Miraculous_Real_[2-3].mp4,2006-12_Is_the_Miraculous_Real_[2/3].mp4
126,w-is-the-miraculous-real,lecture,Transcending Levels of Consciousness,2006,12,DVD,Is the Miraculous Real?,Is the Miraculous Real?,3,3,2006-12_Is_the_Miraculous_Real_[3-3].mp4,2006-12_Is_the_Miraculous_Real_[3/3].mp4
127,w-god-vs-science,lecture,Spiritual Reality & Modern Man,2007,02,DVD,God vs Science: Limits of the Mind,God vs Science: Limits of the Mind,1,3,2007-02_God_vs_Science_Limits_of_the_Mind_[1-3].mp4,2007-02_God_vs_Science_Limits_of_the_Mind_[1/3].mp4
128,w-god-vs-science,lecture,Spiritual Reality & Modern Man,2007,02,DVD,God vs Science: Limits of the Mind,God vs Science: Limits of the Mind,2,3,2007-02_God_vs_Science_Limits_of_the_Mind_[2-3].mp4,2007-02_God_vs_Science_Limits_of_the_Mind_[2/3].mp4
129,w-god-vs-science,lecture,Spiritual Reality & Modern Man,2007,02,DVD,God vs Science: Limits of the Mind,God vs Science: Limits of the Mind,3,3,2007-02_God_vs_Science_Limits_of_the_Mind_[3-3].mp4,2007-02_God_vs_Science_Limits_of_the_Mind_[3/3].mp4
130,w-relativism-vs-reality,lecture,Spiritual Reality & Modern Man,2007,04,DVD,Relativism vs Reality,Relativism vs Reality,1,3,2007-04_Relativism_vs_Reality_[1-3].mp4,2007-04_Relativism_vs_Reality_[1/3].mp4
131,w-relativism-vs-reality,lecture,Spiritual Reality & Modern Man,2007,04,DVD,Relativism vs Reality,Relativism vs Reality,2,3,2007-04_Relativism_vs_Reality_[2-3].mp4,2007-04_Relativism_vs_Reality_[2/3].mp4
132,w-relativism-vs-reality,lecture,Spiritual Reality & Modern Man,2007,04,DVD,Relativism vs Reality,Relativism vs Reality,3,3,2007-04_Relativism_vs_Reality_[3-3].mp4,2007-04_Relativism_vs_Reality_[3/3].mp4
133,w-what-is-real,lecture,Spiritual Reality & Modern Man,2007,06,DVD,What is 'Real'?,What is 'Real'?,1,3,2007-06_What_is_'Real'_[1-3].mp4,2007-06_What_is_'Real'_[1/3].mp4
134,w-what-is-real,lecture,Spiritual Reality & Modern Man,2007,06,DVD,What is 'Real'?,What is 'Real'?,2,3,2007-06_What_is_'Real'_[2-3].mp4,2007-06_What_is_'Real'_[2/3].mp4
135,w-what-is-real,lecture,Spiritual Reality & Modern Man,2007,06,DVD,What is 'Real'?,What is 'Real'?,3,3,2007-06_What_is_'Real'_[3-3].mp4,2007-06_What_is_'Real'_[3/3].mp4
136,w-what-is-truth-the-absolute,lecture,Spiritual Reality & Modern Man,2007,07,DVD,What is Truth? The Absolute,What is Truth? The Absolute,1,3,2007-07_What_is_Truth_The_Absolute_[1-3].mp4,2007-07_What_is_Truth_The_Absolute_[1/3].mp4
137,w-what-is-truth-the-absolute,lecture,Spiritual Reality & Modern Man,2007,07,DVD,What is Truth? The Absolute,What is Truth? The Absolute,2,3,2007-07_What_is_Truth_The_Absolute_[2-3].mp4,2007-07_What_is_Truth_The_Absolute_[2/3].mp4
138,w-what-is-truth-the-absolute,lecture,Spiritual Reality & Modern Man,2007,07,DVD,What is Truth? The Absolute,What is Truth? The Absolute,3,3,2007-07_What_is_Truth_The_Absolute_[3-3].mp4,2007-07_What_is_Truth_The_Absolute_[3/3].mp4
139,w-the-human-dilemma,lecture,Spiritual Reality & Modern Man,2007,08,DVD,The Human Dilemma,The Human Dilemma,1,3,2007-08_The_Human_Dilemma_[1-3].mp4,2007-08_The_Human_Dilemma_[1/3].mp4
140,w-the-human-dilemma,lecture,Spiritual Reality & Modern Man,2007,08,DVD,The Human Dilemma,The Human Dilemma,2,3,2007-08_The_Human_Dilemma_[2-3].mp4,2007-08_The_Human_Dilemma_[2/3].mp4
141,w-the-human-dilemma,lecture,Spiritual Reality & Modern Man,2007,08,DVD,The Human Dilemma,The Human Dilemma,3,3,2007-08_The_Human_Dilemma_[3-3].mp4,2007-08_The_Human_Dilemma_[3/3].mp4
142,w-a-review-of-the-work-2007,lecture,Spiritual Reality & Modern Man,2007,09,DVD,A Review of the Work,A Review of the Work,1,3,2007-09_A_Review_of_the_Work_[1-3].mp4,2007-09_A_Review_of_the_Work_[1/3].mp4
143,w-a-review-of-the-work-2007,lecture,Spiritual Reality & Modern Man,2007,09,DVD,A Review of the Work,A Review of the Work,2,3,2007-09_A_Review_of_the_Work_[2-3].mp4,2007-09_A_Review_of_the_Work_[2/3].mp4
144,w-a-review-of-the-work-2007,lecture,Spiritual Reality & Modern Man,2007,09,DVD,A Review of the Work,A Review of the Work,3,3,2007-09_A_Review_of_the_Work_[3-3].mp4,2007-09_A_Review_of_the_Work_[3/3].mp4
145,w-creation-vs-evolution,lecture,Spiritual Reality & Modern Man,2007,10,DVD,Creation vs Evolution,Creation vs Evolution,1,3,2007-10_Creation_vs_Evolution_[1-3].mp4,2007-10_Creation_vs_Evolution_[1/3].mp4
146,w-creation-vs-evolution,lecture,Spiritual Reality & Modern Man,2007,10,DVD,Creation vs Evolution,Creation vs Evolution,2,3,2007-10_Creation_vs_Evolution_[2-3].mp4,2007-10_Creation_vs_Evolution_[2/3].mp4
147,w-creation-vs-evolution,lecture,Spiritual Reality & Modern Man,2007,10,DVD,Creation vs Evolution,Creation vs Evolution,3,3,2007-10_Creation_vs_Evolution_[3-3].mp4,2007-10_Creation_vs_Evolution_[3/3].mp4
148,w-spiritual-survival-realization-of-realit,lecture,Spiritual Reality & Modern Man,2007,11,DVD,Spiritual Survival: Realization of Reality,Spiritual Survival: Realization of Reality,1,3,2007-11_Spiritual_Survival_Realization_of_Reality_[1-3].mp4,2007-11_Spiritual_Survival_Realization_of_Reality_[1/3].mp4
149,w-spiritual-survival-realization-of-realit,lecture,Spiritual Reality & Modern Man,2007,11,DVD,Spiritual Survival: Realization of Reality,Spiritual Survival: Realization of Reality,2,3,2007-11_Spiritual_Survival_Realization_of_Reality_[2-3].mp4,2007-11_Spiritual_Survival_Realization_of_Reality_[2/3].mp4
150,w-spiritual-survival-realization-of-realit,lecture,Spiritual Reality & Modern Man,2007,11,DVD,Spiritual Survival: Realization of Reality,Spiritual Survival: Realization of Reality,3,3,2007-11_Spiritual_Survival_Realization_of_Reality_[3-3].mp4,2007-11_Spiritual_Survival_Realization_of_Reality_[3/3].mp4
151,w-experiential-reality-the-mystic,lecture,Spiritual Reality & Modern Man,2007,12,DVD,Experiential Reality: The Mystic,Experiential Reality: The Mystic,1,3,2007-12_Experiential_Reality_The_Mystic_[1-3].mp4,2007-12_Experiential_Reality_The_Mystic_[1/3].mp4
152,w-experiential-reality-the-mystic,lecture,Spiritual Reality & Modern Man,2007,12,DVD,Experiential Reality: The Mystic,Experiential Reality: The Mystic,2,3,2007-12_Experiential_Reality_The_Mystic_[2-3].mp4,2007-12_Experiential_Reality_The_Mystic_[2/3].mp4
153,w-experiential-reality-the-mystic,lecture,Spiritual Reality & Modern Man,2007,12,DVD,Experiential Reality: The Mystic,Experiential Reality: The Mystic,3,3,2007-12_Experiential_Reality_The_Mystic_[3-3].mp4,2007-12_Experiential_Reality_The_Mystic_[3/3].mp4
154,w-spirituality-reason-and-faith,lecture,Advanced Spiritual Awareness,2008,01,DVD,Spirituality: Reason and Faith,Spirituality: Reason and Faith,1,3,2008-01_Spirituality_Reason_and_Faith_[1-3].mp4,2008-01_Spirituality_Reason_and_Faith_[1/3].mp4
155,w-spirituality-reason-and-faith,lecture,Advanced Spiritual Awareness,2008,01,DVD,Spirituality: Reason and Faith,Spirituality: Reason and Faith,2,3,2008-01_Spirituality_Reason_and_Faith_[2-3].mp4,2008-01_Spirituality_Reason_and_Faith_[2/3].mp4
156,w-spirituality-reason-and-faith,lecture,Advanced Spiritual Awareness,2008,01,DVD,Spirituality: Reason and Faith,Spirituality: Reason and Faith,3,3,2008-01_Spirituality_Reason_and_Faith_[3-3].mp4,2008-01_Spirituality_Reason_and_Faith_[3/3].mp4
157,w-the-clear-pathway-to-enlightenment,lecture,Advanced Spiritual Awareness,2008,03,DVD,The Clear Pathway to Enlightenment,The Clear Pathway to Enlightenment,1,3,2008-03_The_Clear_Pathway_to_Enlightenment_[1-3].mp4,2008-03_The_Clear_Pathway_to_Enlightenment_[1/3].mp4
158,w-the-clear-pathway-to-enlightenment,lecture,Advanced Spiritual Awareness,2008,03,DVD,The Clear Pathway to Enlightenment,The Clear Pathway to Enlightenment,2,3,2008-03_The_Clear_Pathway_to_Enlightenment_[2-3].mp4,2008-03_The_Clear_Pathway_to_Enlightenment_[2/3].mp4
159,w-the-clear-pathway-to-enlightenment,lecture,Advanced Spiritual Awareness,2008,03,DVD,The Clear Pathway to Enlightenment,The Clear Pathway to Enlightenment,3,3,2008-03_The_Clear_Pathway_to_Enlightenment_[3-3].mp4,2008-03_The_Clear_Pathway_to_Enlightenment_[3/3].mp4
160,w-belief-trust-and-credibility,lecture,Advanced Spiritual Awareness,2008,06,DVD,"Belief, Trust and Credibility","Belief, Trust and Credibility",1,3,"2008-06_Belief,_Trust_and_Credibility_[1-3].mp4","2008-06_Belief,_Trust_and_Credibility_[1/3].mp4"
161,w-belief-trust-and-credibility,lecture,Advanced Spiritual Awareness,2008,06,DVD,"Belief, Trust and Credibility","Belief, Trust and Credibility",2,3,"2008-06_Belief,_Trust_and_Credibility_[2-3].mp4","2008-06_Belief,_Trust_and_Credibility_[2/3].mp4"
162,w-belief-trust-and-credibility,lecture,Advanced Spiritual Awareness,2008,06,DVD,"Belief, Trust and Credibility","Belief, Trust and Credibility",3,3,"2008-06_Belief,_Trust_and_Credibility_[3-3].mp4","2008-06_Belief,_Trust_and_Credibility_[3/3].mp4"
163,w-overcoming-doubt-skepticism-disbelief,lecture,Advanced Spiritual Awareness,2008,08,DVD,"Overcoming Doubt, Skepticism & Disbelief","Overcoming Doubt, Skepticism & Disbelief",1,3,"2008-08_Overcoming_Doubt,_Skepticism_&_Disbelief_[1-3].mp4","2008-08_Overcoming_Doubt,_Skepticism_&_Disbelief_[1/3].mp4"
164,w-overcoming-doubt-skepticism-disbelief,lecture,Advanced Spiritual Awareness,2008,08,DVD,"Overcoming Doubt, Skepticism & Disbelief","Overcoming Doubt, Skepticism & Disbelief",2,3,"2008-08_Overcoming_Doubt,_Skepticism_&_Disbelief_[2-3].mp4","2008-08_Overcoming_Doubt,_Skepticism_&_Disbelief_[2/3].mp4"
165,w-overcoming-doubt-skepticism-disbelief,lecture,Advanced Spiritual Awareness,2008,08,DVD,"Overcoming Doubt, Skepticism & Disbelief","Overcoming Doubt, Skepticism & Disbelief",3,3,"2008-08_Overcoming_Doubt,_Skepticism_&_Disbelief_[3-3].mp4","2008-08_Overcoming_Doubt,_Skepticism_&_Disbelief_[3/3].mp4"
166,w-practical-spirituality,lecture,Advanced Spiritual Awareness,2008,10,DVD,Practical Spirituality,Practical Spirituality,1,3,2008-10_Practical_Spirituality_[1-3].mp4,2008-10_Practical_Spirituality_[1/3].mp4
167,w-practical-spirituality,lecture,Advanced Spiritual Awareness,2008,10,DVD,Practical Spirituality,Practical Spirituality,2,3,2008-10_Practical_Spirituality_[2-3].mp4,2008-10_Practical_Spirituality_[2/3].mp4
168,w-practical-spirituality,lecture,Advanced Spiritual Awareness,2008,10,DVD,Practical Spirituality,Practical Spirituality,3,3,2008-10_Practical_Spirituality_[3-3].mp4,2008-10_Practical_Spirituality_[3/3].mp4
169,w-freedom-morality-and-ethics,lecture,Advanced Spiritual Awareness,2008,11,DVD,Freedom: Morality and Ethics,Freedom: Morality and Ethics,1,3,2008-11_Freedom_Morality_and_Ethics_[1-3].mp4,2008-11_Freedom_Morality_and_Ethics_[1/3].mp4
170,w-freedom-morality-and-ethics,lecture,Advanced Spiritual Awareness,2008,11,DVD,Freedom: Morality and Ethics,Freedom: Morality and Ethics,2,3,2008-11_Freedom_Morality_and_Ethics_[2-3].mp4,2008-11_Freedom_Morality_and_Ethics_[2/3].mp4
171,w-freedom-morality-and-ethics,lecture,Advanced Spiritual Awareness,2008,11,DVD,Freedom: Morality and Ethics,Freedom: Morality and Ethics,3,3,2008-11_Freedom_Morality_and_Ethics_[3-3].mp4,2008-11_Freedom_Morality_and_Ethics_[3/3].mp4
172,w-a-unique-sedona-seminar,lecture,Advanced Spiritual Awareness,2008,12,DVD,A Unique Sedona Seminar,A Unique Sedona Seminar,1,3,2008-12_A_Unique_Sedona_Seminar_[1-3].mp4,2008-12_A_Unique_Sedona_Seminar_[1/3].mp4
173,w-a-unique-sedona-seminar,lecture,Advanced Spiritual Awareness,2008,12,DVD,A Unique Sedona Seminar,A Unique Sedona Seminar,2,3,2008-12_A_Unique_Sedona_Seminar_[2-3].mp4,2008-12_A_Unique_Sedona_Seminar_[2/3].mp4
174,w-a-unique-sedona-seminar,lecture,Advanced Spiritual Awareness,2008,12,DVD,A Unique Sedona Seminar,A Unique Sedona Seminar,3,3,2008-12_A_Unique_Sedona_Seminar_[3-3].mp4,2008-12_A_Unique_Sedona_Seminar_[3/3].mp4
175,w-what-is-the-world,lecture,In the World but Not of It,2009,02,DVD,What is the World?,What is the World?,1,3,2009-02_What_is_the_World_[1-3].mp4,2009-02_What_is_the_World_[1/3].mp4
176,w-what-is-the-world,lecture,In the World but Not of It,2009,02,DVD,What is the World?,What is the World?,2,3,2009-02_What_is_the_World_[2-3].mp4,2009-02_What_is_the_World_[2/3].mp4
177,w-what-is-the-world,lecture,In the World but Not of It,2009,02,DVD,What is the World?,What is the World?,3,3,2009-02_What_is_the_World_[3-3].mp4,2009-02_What_is_the_World_[3/3].mp4
178,w-happiness,lecture,In the World but Not of It,2009,04,DVD,Happiness,Happiness,1,3,2009-04_Happiness_[1-3].mp4,2009-04_Happiness_[1/3].mp4
179,w-happiness,lecture,In the World but Not of It,2009,04,DVD,Happiness,Happiness,2,3,2009-04_Happiness_[2-3].mp4,2009-04_Happiness_[2/3].mp4
180,w-happiness,lecture,In the World but Not of It,2009,04,DVD,Happiness,Happiness,3,3,2009-04_Happiness_[3-3].mp4,2009-04_Happiness_[3/3].mp4
181,w-peace,lecture,In the World but Not of It,2009,08,DVD,Peace,Peace,1,3,2009-08_Peace_[1-3].mp4,2009-08_Peace_[1/3].mp4
182,w-peace,lecture,In the World but Not of It,2009,08,DVD,Peace,Peace,2,3,2009-08_Peace_[2-3].mp4,2009-08_Peace_[2/3].mp4
183,w-peace,lecture,In the World but Not of It,2009,08,DVD,Peace,Peace,3,3,2009-08_Peace_[3-3].mp4,2009-08_Peace_[3/3].mp4
184,w-success,lecture,In the World but Not of It,2009,10,DVD,Success,Success,1,3,2009-10_Success_[1-3].mp4,2009-10_Success_[1/3].mp4
185,w-success,lecture,In the World but Not of It,2009,10,DVD,Success,Success,2,3,2009-10_Success_[2-3].mp4,2009-10_Success_[2/3].mp4
186,w-success,lecture,In the World but Not of It,2009,10,DVD,Success,Success,3,3,2009-10_Success_[3-3].mp4,2009-10_Success_[3/3].mp4
187,w-handling-spiritual-challenges,lecture,Practical Spirituality,2010,04,DVD,Handling Spiritual Challenges,Handling Spiritual Challenges,1,3,2010-04_Handling_Spiritual_Challenges_[1-3].mp4,2010-04_Handling_Spiritual_Challenges_[1/3].mp4
188,w-handling-spiritual-challenges,lecture,Practical Spirituality,2010,04,DVD,Handling Spiritual Challenges,Handling Spiritual Challenges,2,3,2010-04_Handling_Spiritual_Challenges_[2-3].mp4,2010-04_Handling_Spiritual_Challenges_[2/3].mp4
189,w-handling-spiritual-challenges,lecture,Practical Spirituality,2010,04,DVD,Handling Spiritual Challenges,Handling Spiritual Challenges,3,3,2010-04_Handling_Spiritual_Challenges_[3-3].mp4,2010-04_Handling_Spiritual_Challenges_[3/3].mp4
190,w-spiritual-life-in-today-s-world,lecture,Practical Spirituality,2010,10,DVD,Spiritual Life In Today's World,Spiritual Life In Today's World,1,3,2010-10_Spiritual_Life_In_Today's_World_[1-3].mp4,2010-10_Spiritual_Life_In_Today's_World_[1/3].mp4
191,w-spiritual-life-in-today-s-world,lecture,Practical Spirituality,2010,10,DVD,Spiritual Life In Today's World,Spiritual Life In Today's World,2,3,2010-10_Spiritual_Life_In_Today's_World_[2-3].mp4,2010-10_Spiritual_Life_In_Today's_World_[2/3].mp4
192,w-spiritual-life-in-today-s-world,lecture,Practical Spirituality,2010,10,DVD,Spiritual Life In Today's World,Spiritual Life In Today's World,3,3,2010-10_Spiritual_Life_In_Today's_World_[3-3].mp4,2010-10_Spiritual_Life_In_Today's_World_[3/3].mp4
193,w-most-valuable-qualities-for-a-spiritual,lecture,Love & Spiritual Seeker Qualities,2011,05,DVD,Most Valuable Qualities for a Spiritual Seeker,Most Valuable Qualities for a Spiritual Seeker,1,3,2011-05_Most_Valuable_Qualities_for_a_Spiritual_Seeker_[1-3].mp4,2011-05_Most_Valuable_Qualities_for_a_Spiritual_Seeker_[1/3].mp4
194,w-most-valuable-qualities-for-a-spiritual,lecture,Love & Spiritual Seeker Qualities,2011,05,DVD,Most Valuable Qualities for a Spiritual Seeker,Most Valuable Qualities for a Spiritual Seeker,2,3,2011-05_Most_Valuable_Qualities_for_a_Spiritual_Seeker_[2-3].mp4,2011-05_Most_Valuable_Qualities_for_a_Spiritual_Seeker_[2/3].mp4
195,w-most-valuable-qualities-for-a-spiritual,lecture,Love & Spiritual Seeker Qualities,2011,05,DVD,Most Valuable Qualities for a Spiritual Seeker,Most Valuable Qualities for a Spiritual Seeker,3,3,2011-05_Most_Valuable_Qualities_for_a_Spiritual_Seeker_[3-3].mp4,2011-05_Most_Valuable_Qualities_for_a_Spiritual_Seeker_[3/3].mp4
196,w-love,lecture,Love & Spiritual Seeker Qualities,2011,09,DVD,Love,Love,1,3,2011-09_Love_[1-3].mp4,2011-09_Love_[1/3].mp4
197,w-love,lecture,Love & Spiritual Seeker Qualities,2011,09,DVD,Love,Love,2,3,2011-09_Love_[2-3].mp4,2011-09_Love_[2/3].mp4
198,w-love,lecture,Love & Spiritual Seeker Qualities,2011,09,DVD,Love,Love,3,3,2011-09_Love_[3-3].mp4,2011-09_Love_[3/3].mp4
199,w-q-a-session-jan-2011,lecture,Satsang Series,2011,01,streaming,Question/Answer Session (Jan 2011),Question/Answer Session,,,2011-01_Question-Answer_Session.mp4,2011-01_Question-Answer_Session.mp4
200,w-q-a-session-mar-2011,lecture,Satsang Series,2011,03,streaming,Question/Answer Session (Mar 2011),Question/Answer Session,,,2011-03_Question-Answer_Session.mp4,2011-03_Question-Answer_Session.mp4
201,w-q-a-session-jul-2011,lecture,Satsang Series,2011,07,streaming,Question/Answer Session (Jul 2011),Question/Answer Session,,,2011-07_Question-Answer_Session.mp4,2011-07_Question-Answer_Session.mp4
202,w-volume-i-power-vs-force-muscle-testing,lecture,Volume Series,,,DVD,Volume I: Power vs. Force Muscle Testing,Volume I: Power vs. Force Muscle Testing,1,2,Volume_I_Power_vs._Force_Muscle_Testing_[1-2].mp4,Volume_I_Power_vs._Force_Muscle_Testing_[1/2].mp4
203,w-volume-i-power-vs-force-muscle-testing,lecture,Volume Series,,,DVD,Volume I: Power vs. Force Muscle Testing,Volume I: Power vs. Force Muscle Testing,2,2,Volume_I_Power_vs._Force_Muscle_Testing_[2-2].mp4,Volume_I_Power_vs._Force_Muscle_Testing_[2/2].mp4
204,w-volume-ii-consciousness-and-addiction,lecture,Volume Series,,,DVD,Volume II: Consciousness and Addiction,Volume II: Consciousness and Addiction,1,2,Volume_II_Consciousness_and_Addiction_[1-2].mp4,Volume_II_Consciousness_and_Addiction_[1/2].mp4
205,w-volume-ii-consciousness-and-addiction,lecture,Volume Series,,,DVD,Volume II: Consciousness and Addiction,Volume II: Consciousness and Addiction,2,2,Volume_II_Consciousness_and_Addiction_[2-2].mp4,Volume_II_Consciousness_and_Addiction_[2/2].mp4
206,w-volume-iii-advanced-states-of-consciousness,lecture,Volume Series,,,DVD,Volume III: Advanced States of Consciousness,Volume III: Advanced States of Consciousness,1,2,Volume_III_Advanced_States_of_Consciousness_[1-2].mp4,Volume_III_Advanced_States_of_Consciousness_[1/2].mp4
207,w-volume-iii-advanced-states-of-consciousness,lecture,Volume Series,,,DVD,Volume III: Advanced States of Consciousness,Volume III: Advanced States of Consciousness,2,2,Volume_III_Advanced_States_of_Consciousness_[2-2].mp4,Volume_III_Advanced_States_of_Consciousness_[2/2].mp4
208,w-volume-iv-consciousness-how-to-tell-the-truth,lecture,Volume Series,,,DVD,Volume IV: Consciousness: How to Tell the Truth About Anything,Volume IV: Consciousness: How to Tell the Truth About Anything,1,2,Volume_IV_Consciousness_How_to_Tell_the_Truth_About_Anything_[1-2].mp4,Volume_IV_Consciousness_How_to_Tell_the_Truth_About_Anything_[1/2].mp4
209,w-volume-iv-consciousness-how-to-tell-the-truth,lecture,Volume Series,,,DVD,Volume IV: Consciousness: How to Tell the Truth About Anything,Volume IV: Consciousness: How to Tell the Truth About Anything,2,2,Volume_IV_Consciousness_How_to_Tell_the_Truth_About_Anything_[2-2].mp4,Volume_IV_Consciousness_How_to_Tell_the_Truth_About_Anything_[2/2].mp4
210,w-volume-v-undoing-the-barriers-to-spiritual-progress,lecture,Volume Series,,,DVD,Volume V: Undoing the Barriers to Spiritual Progress,Volume V: Undoing the Barriers to Spiritual Progress,1,3,Volume_V_Undoing_the_Barriers_to_Spiritual_Progress_[1-3].mp4,Volume_V_Undoing_the_Barriers_to_Spiritual_Progress_[1/3].mp4
211,w-volume-v-undoing-the-barriers-to-spiritual-progress,lecture,Volume Series,,,DVD,Volume V: Undoing the Barriers to Spiritual Progress,Volume V: Undoing the Barriers to Spiritual Progress,2,3,Volume_V_Undoing_the_Barriers_to_Spiritual_Progress_[2-3].mp4,Volume_V_Undoing_the_Barriers_to_Spiritual_Progress_[2/3].mp4
212,w-volume-v-undoing-the-barriers-to-spiritual-progress,lecture,Volume Series,,,DVD,Volume V: Undoing the Barriers to Spiritual Progress,Volume V: Undoing the Barriers to Spiritual Progress,3,3,Volume_V_Undoing_the_Barriers_to_Spiritual_Progress_[3-3].mp4,Volume_V_Undoing_the_Barriers_to_Spiritual_Progress_[3/3].mp4
213,w-volume-vi-how-to-raise-your-level-of-con,lecture,Volume Series,,,DVD,Volume VI: How to Raise Your Level of Consciousness,Volume VI: How to Raise Your Level of Consciousness,1,1,Volume_VI_How_to_Raise_Your_Level_of_Consciousness.mp4,Volume_VI_How_to_Raise_Your_Level_of_Consciousness.mp4
214,w-volume-vii-a-conversation-with-knowingne,lecture,Volume Series,,,DVD,Volume VII: A Conversation with Knowingness,Volume VII: A Conversation with Knowingness,1,1,Volume_VII_A_Conversation_with_Knowingness.mp4,Volume_VII_A_Conversation_with_Knowingness.mp4
215,w-become-that-which-you-are-june-2004,lecture,On The Road Talk Series,2004,06,DVD,Become That Which You Are,Become That Which You Are,1,3,2004-06_OTR_Become_That_Which_You_Are_[1-3].mp4,2004-06_OTR_Become_That_Which_You_Are_[1/3].mp4
216,w-become-that-which-you-are-june-2004,lecture,On The Road Talk Series,2004,06,DVD,Become That Which You Are,Become That Which You Are,2,3,2004-06_OTR_Become_That_Which_You_Are_[2-3].mp4,2004-06_OTR_Become_That_Which_You_Are_[2/3].mp4
217,w-become-that-which-you-are-june-2004,lecture,On The Road Talk Series,2004,06,DVD,Become That Which You Are,Become That Which You Are,3,3,2004-06_OTR_Become_That_Which_You_Are_[3-3].mp4,2004-06_OTR_Become_That_Which_You_Are_[3/3].mp4
218,w-love-is-a-way-of-being-january-2004,lecture,On The Road Talk Series,2004,01,DVD,Love is a Way of Being,Love is a Way of Being,1,3,2004-01_OTR_Love_is_a_Way_of_Being_[1-3].mp4,2004-01_OTR_Love_is_a_Way_of_Being_[1/3].mp4
219,w-love-is-a-way-of-being-january-2004,lecture,On The Road Talk Series,2004,01,DVD,Love is a Way of Being,Love is a Way of Being,2,3,2004-01_OTR_Love_is_a_Way_of_Being_[2-3].mp4,2004-01_OTR_Love_is_a_Way_of_Being_[2/3].mp4
220,w-love-is-a-way-of-being-january-2004,lecture,On The Road Talk Series,2004,01,DVD,Love is a Way of Being,Love is a Way of Being,3,3,2004-01_OTR_Love_is_a_Way_of_Being_[3-3].mp4,2004-01_OTR_Love_is_a_Way_of_Being_[3/3].mp4
