uuid,work_id,item_type,series,year,month,format,title,clean_title,part_index,part_total,proposed_filename,proposed_filename_display
18,w-realizing-root,lecture,The Way to God,2002,06,DVD,Realizing the Root of Consciousness: Meditative and Contemplative Techniques,Realizing the Root of Consciousness: Meditative and Contemplative Techniques,3,3,2002-06_Realizing_the_Root_of_Consciousness_Meditative_and_Contemplative_Techniques_[3-3].mp4,2002-06_Realizing_the_Root_of_Consciousness_Meditative_and_Contemplative_Techniques_[3/3].mp4
19,w-nature-of-divinity,lecture,The Way to God,2002,07,DVD,The Nature of Divinity vs Religious Fallacy,The Nature of Divinity vs Religious Fallacy,1,3,2002-07_The_Nature_of_Divinity_vs_Religious_Fallacy_[1-3].mp4,2002-07_The_Nature_of_Divinity_vs_Religious_Fallacy_[1/3].mp4
20,w-nature-of-divinity,lecture,The Way to God,2002,07,DVD,The Nature of Divinity vs Religious Fallacy,The Nature of Divinity vs Religious Fallacy,2,3,2002-07_The_Nature_of_Divinity_vs_Religious_Fallacy_[2-3].mp4,2002-07_The_Nature_of_Divinity_vs_Religious_Fallacy_[2/3].mp4
21,w-nature-of-divinity,lecture,The Way to God,2002,07,DVD,The Nature of Divinity vs Religious Fallacy,The Nature of Divinity vs Religious Fallacy,3,3,2002-07_The_Nature_of_Divinity_vs_Religious_Fallacy_[3-3].mp4,2002-07_The_Nature_of_Divinity_vs_Religious_Fallacy_[3/3].mp4
22,w-advaita,lecture,The Way to God,2002,08,DVD,Advaita: The Way to God Through Mind,Advaita: The Way to God Through Mind,1,3,2002-08_Advaita_The_Way_to_God_Through_Mind_[1-3].mp4,2002-08_Advaita_The_Way_to_God_Through_Mind_[1/3].mp4
23,w-advaita,lecture,The Way to God,2002,08,DVD,Advaita: The Way to God Through Mind,Advaita: The Way to God Through Mind,2,3,2002-08_Advaita_The_Way_to_God_Through_Mind_[2-3].mp4,2002-08_Advaita_The_Way_to_God_Through_Mind_[2/3].mp4
24,w-advaita,lecture,The Way to God,2002,08,DVD,Advaita: The Way to God Through Mind,Advaita: The Way to God Through Mind,3,3,2002-08_Advaita_The_Way_to_God_Through_Mind_[3-3].mp4,2002-08_Advaita_The_Way_to_God_Through_Mind_[3/3].mp4
25,w-devotion-the-way-to-god-through-the-hear,lecture,The Way to God,2002,09,DVD,Devotion: The Way to God Through the Heart,Devotion: The Way to God Through the Heart,1,3,2002-09_Devotion_The_Way_to_God_Through_the_Heart_[1-3].mp4,2002-09_Devotion_The_Way_to_God_Through_the_Heart_[1/3].mp4
26,w-devotion-the-way-to-god-through-the-hear,lecture,The Way to God,2002,09,DVD,Devotion: The Way to God Through the Heart,Devotion: The Way to God Through the Heart,2,3,2002-09_Devotion_The_Way_to_God_Through_the_Heart_[2-3].mp4,2002-09_Devotion_The_Way_to_God_Through_the_Heart_[2/3].mp4
27,w-devotion-the-way-to-god-through-the-hear,lecture,The Way to God,2002,09,DVD,Devotion: The Way to God Through the Heart,Devotion: The Way to God Through the Heart,3,3,2002-09_Devotion_The_Way_to_God_Through_the_Heart_[3-3].mp4,2002-09_Devotion_The_Way_to_God_Through_the_Heart_[3/3].mp4
