candidate_title,item_type,series,year,format,source_product_id,source_url_veritas,match_status,match_notes,approval,review_notes
Unity Church of Sedona 2005 March (CD),lecture,,,CD,1546,https://veritaspub.com/product/unity-church-of-sedona-march-6th-2005/,not_found_in_current_draft,Official Veritas unique product with no master match; candidate new work - requires ownership/content review.,,
Unity Church of Sedona 2006 June (CD),lecture,,,CD,1548,https://veritaspub.com/product/unity-church-of-sedona-june-2006-cd/,not_found_in_current_draft,Official Veritas unique product with no master match; candidate new work - requires ownership/content review.,,
Don't Set Sail Without A Compass – Audio,lecture,,,audio,1792,https://veritaspub.com/product/dont-set-sail-without-a-compass/,not_found_in_current_draft,Official Veritas unique product with no master match; candidate new work - requires ownership/content review.,,
Peace is the Natural State,lecture,,,audio,1814,https://veritaspub.com/product/peace-is-the-natural-state/,not_found_in_current_draft,Official Veritas unique product with no master match; candidate new work - requires ownership/content review.,,
Giving Up Illness through A Course in Miracles© – Audio,lecture,,,audio,1544,https://veritaspub.com/product/giving-up-illness-through-a-course-in-miracles/,not_found_in_current_draft,Official Veritas unique product with no master match; candidate new work - requires ownership/content review.,,
