,archive clbs,,,,,,,,,,,
uuid,tempid,title,WE HAVE?,original source,,format,product link,,,,,other links
,,,,,,,,,,,,
,,https://veritaspub.com/lecture-series-2002-2011/,,,,,,,,,,
,,Series 2002: The Way to God,,,,,,,,,,
,,,,,,,,,,,,
,LS200210_2,Karma and the Afterlife (Oct 2002) DVD02,✅,veritas,,,https://veritaspub.com/product/2002-10-karma-and-the-afterlife-oct-2002-streaming/,,,,,
,LS200210_3,Karma and the Afterlife (Oct 2002) DVD03,✅,veritas,,,https://veritaspub.com/product/2002-10-karma-and-the-afterlife-oct-2002-streaming/,,,,,
,LS200211_1,God: Transcendent and Immanent (Nov 2002) DVD01,✅,veritas,,,https://veritaspub.com/product/2002-11-god-transcendent-and-immanent-nov-2002/,,,,,
,LS200211_2,God: Transcendent and Immanent (Nov 2002) DVD02,✅,veritas,,,https://veritaspub.com/product/2002-11-god-transcendent-and-immanent-nov-2002/,,,,,
,LS200211_3,God: Transcendent and Immanent (Nov 2002) DVD03,✅,veritas,,,https://veritaspub.com/product/2002-11-god-transcendent-and-immanent-nov-2002/,,,,,
,LS200212_1,Realization of the Self: The Final Moments (Dec 2002) DVD01,✅,veritas,,,https://veritaspub.com/product/2002-12-realization-of-the-self-the-final-moments-dec-2002/,,,,,
,LS200212_2,Realization of the Self: The Final Moments (Dec 2002) DVD02,✅,veritas,,,https://veritaspub.com/product/2002-12-realization-of-the-self-the-final-moments-dec-2002/,,,,,
,LS200212_3,Realization of the Self: The Final Moments (Dec 2002) DVD03,✅,veritas,,,https://veritaspub.com/product/2002-12-realization-of-the-self-the-final-moments-dec-2002/,,,,,
,,,,,,,,,,,,
,,Series 2003: Devotional Nonduality,,,,,,,,,,
,,,,,,,,,,,,
,LS200301_1,Integration of Spirituality and Personal Life (Feb 2003) DVD01,✅,veritas,,,https://veritaspub.com/product/2003-02-integration-of-spirituality-and-personal-life-feb-2003/,,,,,
,LS200301_2,Integration of Spirituality and Personal Life (Feb 2003) DVD02,✅,veritas,,,https://veritaspub.com/product/2003-02-integration-of-spirituality-and-personal-life-feb-2003/,,,,,
,LS200301_3,Integration of Spirituality and Personal Life (Feb 2003) DVD03,✅,veritas,,,https://veritaspub.com/product/2003-02-integration-of-spirituality-and-personal-life-feb-2003/,,,,,
,LS200302_1,Spirituality and the World (Apr 2003) DVD01,✅,veritas,,,https://veritaspub.com/product/2003-04-spirituality-and-the-world-april-2003/,,,,,
,LS200302_2,Spirituality and the World (Apr 2003) DVD02,✅,veritas,,,https://veritaspub.com/product/2003-04-spirituality-and-the-world-april-2003/,,,,,
,LS200302_3,Spirituality and the World (Apr 2003) DVD03,✅,veritas,,,https://veritaspub.com/product/2003-04-spirituality-and-the-world-april-2003/,,,,,
,LS200303_1,Spiritual Community (Jun 2003) DVD01,✅,veritas,,,https://veritaspub.com/product/2003-06-spiritual-community-june-2003/,,,,,
,LS200303_2,Spiritual Community (Jun 2003) DVD02,✅,veritas,,,https://veritaspub.com/product/2003-06-spiritual-community-june-2003/,,,,,
,LS200303_3,Spiritual Community (Jun 2003) DVD03,✅,veritas,,,https://veritaspub.com/product/2003-06-spiritual-community-june-2003/,,,,,
,LS200304_1,Enlightenment (Aug 2003) DVD01,✅,veritas,,,https://veritaspub.com/product/2003-08-enlightenment-august-2003/,,,,,
,LS200304_2,Enlightenment (Aug 2003) DVD02,✅,veritas,,,https://veritaspub.com/product/2003-08-enlightenment-august-2003/,,,,,
,LS200304_3,Enlightenment (Aug 2003) DVD03,✅,veritas,,,https://veritaspub.com/product/2003-08-enlightenment-august-2003/,,,,,
,LS200305_1,Realization of the Self as the 'I' (Nov 2003) DVD01,✅,veritas,,,https://veritaspub.com/product/2003-11-realization-of-the-self-as-the-i-nov-2003/,,,,,
,LS200305_2,Realization of the Self as the 'I' (Nov 2003) DVD02,✅,veritas,,,https://veritaspub.com/product/2003-11-realization-of-the-self-as-the-i-nov-2003/,,,,,
,LS200305_3,Realization of the Self as the 'I' (Nov 2003) DVD03,✅,veritas,,,https://veritaspub.com/product/2003-11-realization-of-the-self-as-the-i-nov-2003/,,,,,
,LS200306_1,"Dialogue, Questions, and Answers (Dec 2003) DVD01",✅,veritas,,,https://veritaspub.com/product/dialogue-questions-and-answers-dec-2003/,,,,,
,LS200306_2,"Dialogue, Questions, and Answers (Dec 2003) DVD02",✅,veritas,,,https://veritaspub.com/product/dialogue-questions-and-answers-dec-2003/,,,,,
,LS200306_3,"Dialogue, Questions, and Answers (Dec 2003) DVD03",✅,veritas,,,https://veritaspub.com/product/dialogue-questions-and-answers-dec-2003/,,,,,
,,,,,,,,,,,,
,,Series 2004: Transcending the Mind,,,,,,,,,,
,LS200401_1,Thought and Ideation (Feb 2004) DVD01,✅,veritas,,,https://veritaspub.com/product/2004-02-thought-and-ideation-feb-2004/,,,,,
,LS200401_2,Thought and Ideation (Feb 2004) DVD02,✅,veritas,,,https://veritaspub.com/product/2004-02-thought-and-ideation-feb-2004/,,,,,
,LS200401_3,Thought and Ideation (Feb 2004) DVD03,✅,veritas,,,https://veritaspub.com/product/2004-02-thought-and-ideation-feb-2004/,,,,,
,LS200402_1,Emotions and Sensations (Apr 2004) DVD01,✅,veritas,,,https://veritaspub.com/product/2004-04-emotions-and-sensations-april-2004/,,,,,
,LS200402_2,Emotions and Sensations (Apr 2004) DVD02,✅,veritas,,,https://veritaspub.com/product/2004-04-emotions-and-sensations-april-2004/,,,,,
,LS200402_3,Emotions and Sensations (Apr 2004) DVD03,✅,veritas,,,https://veritaspub.com/product/2004-04-emotions-and-sensations-april-2004/,,,,,
,LS200403_1,Perception and Positionality (Jun 2004) DVD01,✅,veritas,,,https://veritaspub.com/product/2004-06-perception-and-positionality-june-2004/,,,,,
,LS200403_2,Perception and Positionality (Jun 2004) DVD02,✅,veritas,,,https://veritaspub.com/product/2004-06-perception-and-positionality-june-2004/,,,,,
,LS200403_3,Perception and Positionality (Jun 2004) DVD03,✅,veritas,,,https://veritaspub.com/product/2004-06-perception-and-positionality-june-2004/,,,,,
,LS200404_1,Identification and Illusion (Aug 2004) DVD01,✅,veritas,,,https://veritaspub.com/product/2004-08-identification-and-illusion-aug-2004/,,,,,
,LS200404_2,Identification and Illusion (Aug 2004) DVD02,✅,veritas,,,https://veritaspub.com/product/2004-08-identification-and-illusion-aug-2004/,,,,,
,LS200404_3,Identification and Illusion (Aug 2004) DVD03,✅,veritas,,,https://veritaspub.com/product/2004-08-identification-and-illusion-aug-2004/,,,,,
,LS200405_1,Witnessing and Observing (Oct 2004) DVD01,✅,veritas,,,https://veritaspub.com/product/2004-10-witnessing-and-observing-october-2004/,,,,,
,LS200405_2,Witnessing and Observing (Oct 2004) DVD02,✅,veritas,,,https://veritaspub.com/product/2004-10-witnessing-and-observing-october-2004/,,,,,
,LS200405_3,Witnessing and Observing (Oct 2004) DVD03,✅,veritas,,,https://veritaspub.com/product/2004-10-witnessing-and-observing-october-2004/,,,,,
,LS200406_1,The Ego and The Self (Dec 2004) DVD01,✅,veritas,,,https://veritaspub.com/product/2004-12-the-ego-and-the-self-december-2004/,,,,,
,LS200406_2,The Ego and The Self (Dec 2004) DVD02,✅,veritas,,,https://veritaspub.com/product/2004-12-the-ego-and-the-self-december-2004/,,,,,
,LS200406_3,The Ego and The Self (Dec 2004) DVD03,✅,veritas,,,https://veritaspub.com/product/2004-12-the-ego-and-the-self-december-2004/,,,,,
,,Series 2005: Nonduality Intensive,,,,,,,,,,
,LS200501_1,Vision (Feb 2005) DVD01,✅,veritas,,,https://veritaspub.com/product/vision-feb-2005/,,,,,
,LS200501_2,Vision (Feb 2005) DVD02,✅,veritas,,,https://veritaspub.com/product/vision-feb-2005/,,,,,
,LS200501_3,Vision (Feb 2005) DVD03,✅,veritas,,,https://veritaspub.com/product/vision-feb-2005/,,,,,
,LS200502_1,Alignment (Apr 2005) DVD01,✅,veritas,,,https://veritaspub.com/product/2005-04-alignment-apr-2005/,,,,,
,LS200502_2,Alignment (Apr 2005) DVD02,✅,veritas,,,https://veritaspub.com/product/2005-04-alignment-apr-2005/,,,,,
,LS200502_3,Alignment (Apr 2005) DVD03,✅,veritas,,,https://veritaspub.com/product/2005-04-alignment-apr-2005/,,,,,
,LS200503_1,Intention (May 2005) DVD01,✅,veritas,,,https://veritaspub.com/product/2005-05-intention-may-2005/,,,,,
,LS200503_2,Intention (May 2005) DVD02,✅,veritas,,,https://veritaspub.com/product/2005-05-intention-may-2005/,,,,,
,LS200503_3,Intention (May 2005) DVD03,✅,veritas,,,https://veritaspub.com/product/2005-05-intention-may-2005/,,,,,
,LS200504_1,Transcending Barriers (Jun 2005) DVD01,✅,veritas,,,https://veritaspub.com/product/2005-06-transcending-barriers-june-2005/,,,,,
,LS200504_2,Transcending Barriers (Jun 2005) DVD02,✅,veritas,,,https://veritaspub.com/product/2005-06-transcending-barriers-june-2005/,,,,,
,LS200504_3,Transcending Barriers (Jun 2005) DVD03,✅,veritas,,,https://veritaspub.com/product/2005-06-transcending-barriers-june-2005/,,,,,
,LS200505_1,Conviction (Jul 2005) DVD01,✅,veritas,,,https://veritaspub.com/product/2005-07-conviction-july-2005/,,,,,
,LS200505_2,Conviction (Jul 2005) DVD02,✅,veritas,,,https://veritaspub.com/product/2005-07-conviction-july-2005/,,,,,
,LS200505_3,Conviction (Jul 2005) DVD03,✅,veritas,,,https://veritaspub.com/product/2005-07-conviction-july-2005/,,,,,
,LS200506_1,Serenity (Aug 2005) DVD01,✅,veritas,,,https://veritaspub.com/product/2005-08-serenity-august-2005/,,,,,
,LS200506_2,Serenity (Aug 2005) DVD02,✅,veritas,,,https://veritaspub.com/product/2005-08-serenity-august-2005/,,,,,
,LS200506_3,Serenity (Aug 2005) DVD03,✅,veritas,,,https://veritaspub.com/product/2005-08-serenity-august-2005/,,,,,
,LS200507_1,Transcending Obstacles (Sep 2005) DVD01,✅,veritas,,,https://veritaspub.com/product/2005-09-transcending-obstacles-sept-2005/,,,,,
,LS200507_2,Transcending Obstacles (Sep 2005) DVD02,✅,veritas,,,https://veritaspub.com/product/2005-09-transcending-obstacles-sept-2005/,,,,,
,LS200507_3,Transcending Obstacles (Sep 2005) DVD03,✅,veritas,,,https://veritaspub.com/product/2005-09-transcending-obstacles-sept-2005/,,,,,
,LS200508_1,Spiritual Traps (Oct 2005) DVD01,✅,veritas,,,https://veritaspub.com/product/2005-10-spiritual-traps-october-2005/,,,,https://archive.org/download/Hawkins_Lectures_transcoded_actual_files/David%20R.%20Hawkins/Truth%20vs%20Falsehood/,
,LS200508_2,Spiritual Traps (Oct 2005) DVD02,✅,veritas,,,https://veritaspub.com/product/2005-10-spiritual-traps-october-2005/,,,,,
